Titel;Medium;clickable_title;en;Class;probabilities
Zahl der Abschiebungen steigt – auf niedrigem Niveau;Junge Freiheit;<a href='https://jungefreiheit.de/politik/deutschland/2025/zahl-der-abschiebungen-steigt-auf-niedrigem-niveau/' target='_blank'>Zahl der Abschiebungen steigt – auf niedrigem Niveau</a>;"BERLIN. In the first three months of this year, more people were deported from Germany than during the same period in previous years. A total of 6,151 foreign nationals were forced to leave the country. This information comes from the German federal government's response to a parliamentary inquiry by the Left Party, as reported by the Redaktionsnetzwerk Deutschland (RND).

The time frame in question still falls under the responsibility of the red-green minority government. By the end of 2024, however, a significant number of individuals in Germany were under obligation to leave the country. If the number of deportations in the first quarter is projected over the entire year, more than 24,000 cases could occur in 2025. In 2024, approximately 20,000 migrants were deported, compared to around 16,500 in 2023.

In one out of every three deportations during the first quarter of 2025, authorities had to opt for the expensive method of chartering a plane. Group deportations to Pakistan were particularly costly, amounting to €462,000. Deportation flights to Ethiopia cost €418,000, and those to Nigeria, Ghana, and Cameroon totaled €380,000.

Most frequently, migrants were deported to Turkey, Georgia, France, Spain, and Serbia. Around 1,700 of the deportations were so-called “Dublin transfers,” where migrants were returned to the European country in which they first applied for asylum. (fh)";center;{'center': 0.7674999833106995, 'left': 0.14409999549388885, 'left-center': 0.06069999933242798, 'right': 0.015200000256299973, 'right-center': 0.012500000186264515}
Fischer in Kolumbien: »Niemand wird allein­­­gelassen«;nd;<a href='https://www.nd-aktuell.de/artikel/1191553.santa-cruz-del-islote-fischer-in-kolumbien-niemand-wird-alleinsssgelassen.html' target='_blank'>Fischer in Kolumbien: »Niemand wird allein­­­gelassen«</a>;"Today, about 1,000 people live permanently on just half a hectare of land. But the dense population has been a reality here for a long time. The island used to be smaller, though almost as heavily inhabited. The island grows along with our community.

I was born in 1949, right here, in the middle of the sea. Back then, maybe 200 people lived here. There were no motorboats, no electricity, no [missing word]. But the island was always tiny and crowded, and the sea was always vast and endless – and our friend, our teacher, our calendar. When the waves grew higher, we knew: rain was coming. When the sea was calm, it was a good morning to fish.

The few houses were made of wood, the first ones built on stilts directly over the reef. At night, the wind would whistle through the boards, and sometimes it felt like the whole Islote was breathing.

According to our own stories and research, the first fishermen arrived about 330 years ago. They were men from the mainland. They spent the nights on the reef because there were no mosquitoes and it was safe to sleep there. During the day, they fished and searched for lobsters and shells. Eventually, they started building small shelters, stayed for several days at a time, and finally brought their families. A village grew from what began as a makeshift camp – on the reef, in the middle of the sea.

Space has always been limited, the ground naturally unstable, and everyone has to share every inch. Still, more people arrive, and most importantly, we have many children – and they all want their own homes someday. The island is bursting at the seams, yet there’s hardly a way to leave. And most people don’t want to leave anyway.

[Name missing], known as El Mono, is a fisherman, storyteller, historian, tour guide, tinkerer, diver, boatman, and head of the island guides’ council on the Colombian island of Santa Cruz del Islote.

Like my father and his father, I used to fish with a harpoon. Barefoot. No wetsuit, no air tank. Just a boat, alone. That’s also a way to escape the tightness of the island for a little while. Our fathers and grandfathers would dive down and come back with huge shells like it was nothing. And we children? We would watch – full of admiration. That’s how you learned respect. For elders, for nature, for the water.

The sea has always been our lifeline – and our wealth. Today, many people make a living from tourism too. The biggest attraction here is the aquarium, where you can see sharks up close. Most tourists don’t stay overnight – they come on organized trips and spend only half an hour here. They snorkel in the reef and take photos of the “smallest island in the world.”

Some of us work during the week on the mainland – in Cartagena or Tolú – and come home on weekends or for special holidays. That’s when the Islote feels especially crowded, loud, and alive – like a big family reunion.

But the most important thing is: we live off our community. No one is left behind. If someone has no money, people share what they have. If someone is sick, people help. If someone is building a house, neighbors come with tools to assist. That’s true. We have no pipelines, no public infrastructure. Everything that works here, we organized ourselves.

At some point, someone brought a generator from the mainland. Then we had light at night. During the day, the TV stays off – there’s no entertainment program – life happens outside.

Rainwater is collected in a large tank and distributed among the families – but it hasn’t rained in months. So now we have to buy water from a private desalination plant. It’s delivered by boat in large containers.

The school here at least has a small modem so the kids can learn how to use the internet. There’s a sports field on a neighboring island, but we don’t have a schoolyard. We do have three small shops, one right on the village square, where people gather, sip soft drinks, and catch up on local gossip.

Because we live so closely together, there are no secrets. No privacy. When someone laughs or cries – someone always hears. But that also has an upside: it creates connection.

We organize ourselves in collectives: there’s an island council, the highest authority – everyone is part of it, and leadership rotates. The tour guides have their own collective that decides who works when. Daily income is split evenly. The fishermen have an association too – if someone doesn’t catch anything, the others help out.

We’re extremely adaptable. We never have much, but we get by. Everyone knows everyone, and everyone helps everyone. And life here leaves lots of room for talking and improvising. There’s no crime, no locked doors.

Day-trippers are only allowed on the main path and in the aquarium. The rest of the island is ours.

Taking land from the sea is hard. We fill in tiny platforms with rubble, coral fragments, and sand carried in by tides – over time, they become plots of land. Sometimes it takes years. To the east, it’s the end – the reef suddenly drops off 30 meters. You can’t fill that in. There’s still a bit of room to the west – but that’s where the protected corals begin.

The real limit will probably come from our dependency on the mainland. Without it, nothing works: trash, drinking water, electricity. We have no police here, and the school is at risk of collapsing. The nearest hospital is far away – we have only an emergency team, two nurses, and one doctor.

Sometimes I feel like the state has forgotten us. We need support – also to develop alternatives to fishing and tourism. We could help with conservation efforts, with tracking biodiversity. We know the sea better than any drone or city diver.

Yes, absolutely – there’s more frustration now. Many young people want to go to the mainland, make TikTok videos, live a different life. I understand and support that. Because when they come back, they bring something with them: knowledge, questions, a new perspective. Now even the Islote has its own Instagram account.

We live with the sea – and with everything that moves within it. Some days, you lie on your back in the water, stare at the sky – and it feels like you’re floating between two worlds. But there are also days when you know: today’s not the day to go out.

People from the city look at the ocean and see a beautiful photo, a postcard. We see a story, a warning, a promise. The sea allows us to live – and it is our refuge. I want to protect that. I hope the younger generation doesn’t forget it. That they go out into the world – yes – but also come back. With new ideas. And the same heart.";left;{'center': 0.3345000147819519, 'left': 0.5622000098228455, 'left-center': 0.06629999727010727, 'right': 0.022299999371170998, 'right-center': 0.014600000344216824}
Die Kleinen hängt man;Junge Welt;<a href='https://www.jungewelt.de/artikel/500878.urteile-im-vw-dieselgate-die-kleinen-h%C3%A4ngt-man.html' target='_blank'>Die Kleinen hängt man</a>;"A full four years after the start of the Dieselgate trial against two former managers and two engineers of Volkswagen AG, the economic crimes chamber of the Braunschweig Regional Court delivered its verdicts on Monday. While the managers received suspended sentences, the engineers are heading to prison.

All four defendants were found guilty of particularly serious fraud during the trial, the court stated. It was proven that the defendants either helped plan or knowingly supported the use of illegal software designed to manipulate emissions values.

According to the verdict, former head of powertrain electronics Hanno Jelden must serve two years and seven months in prison. Jens Hadler, who was head of the diesel engine division at the time, received a sentence of four and a half years. In contrast, the sentences of one year and three months for former head of development Heinz-Jakob Neußer and one year and ten months for another former department head were suspended.

In their closing statements, the defendants expressed shock at the sentences sought by the prosecution—sentences that were largely upheld by the judges. Later that day, the defense teams announced they would appeal the verdicts.

During the trial, the defendants primarily pointed fingers at each other—and at then-CEO Martin Winterkorn. The question of who knew what, and when, could not be definitively resolved. As the head of the company at the time, Winterkorn is widely seen as bearing the main responsibility for the scandal uncovered by the U.S. Environmental Protection Agency in 2015.

Winterkorn was originally set to be tried alongside the others, but his case was separated due to ""health reasons."" Since then, proceedings against the now 78-year-old have repeatedly been postponed, until a hearing was finally held in 2024. During that hearing, Winterkorn denied all allegations and emphasized that the scandal had damaged his successful career.

A few months later, the case was once again suspended after Winterkorn suffered an accident at home. The trial was scheduled to resume in early 2025, but that did not happen either. Whether a verdict will ever be reached against what was once Germany’s highest-paid CEO remains unclear. A U.S. lawsuit against Winterkorn failed due to Germany’s refusal to extradite him.

After the criminal activities came to light in September 2015, Winterkorn acknowledged mistakes and promised a full investigation. ""Manipulation and Volkswagen—this must never happen again,"" he said at the time. One day later, he resigned and has contributed little to the investigation since. Instead, the company’s top management appeared in the following years to be more focused on protecting themselves, allowing lower-ranking employees to take the fall.

The scandal has its roots in the early 2000s: as early as 2006, VW was developing the fraudulent software, which was installed in about 11 million diesel vehicles between 2008 and 2015. The software could detect when a car was being tested and would activate a cleaner emissions mode during the test. This mode would significantly reduce nitrogen oxide emissions under test conditions—while in real-world driving, the emissions were up to 40 times higher than legal limits and came with lower performance and higher fuel consumption.

According to Volkswagen, the legal fallout from the scandal has cost the already embattled company around €33 billion so far. However, the matter is far from over with Monday’s verdict. According to a court spokesperson, four additional proceedings involving 31 more defendants are ongoing in Braunschweig. Charges against 47 other accused individuals were dropped in exchange for financial settlements.";center;{'center': 0.819599986076355, 'left': 0.08100000023841858, 'left-center': 0.0706000030040741, 'right': 0.01549999974668026, 'right-center': 0.013299999758601189}
"Regierung dringt auf ""Tempo, Tempo, Tempo""";tagesschau;"<a href='https://www.tagesschau.de/inland/innenpolitik/koalitionsausschuss-korri-100.html' target='_blank'>Regierung dringt auf ""Tempo, Tempo, Tempo""</a>";"Lars Klingbeil’s watch actually showed exactly 7:00 PM when the party leaders sat down at the table for a press conference in the Chancellor's Office. Alongside Klingbeil, Friedrich Merz, Markus Söder, and Saskia Esken all unanimously emphasized how constructive—and even harmonious—this first meeting had been. It almost sounded as if they were intentionally highlighting that the dynamic in the government has changed since the coalition was formed, where the coalition committee was more of a crisis management tool than a regular exchange, as Merz now intends to run it. No leaks, no party spin. Merz specifically pointed this out in his statement: “This is how I envision it.”

And after the first phase of the chancellorship focused on foreign policy, this could certainly be seen as a starting point for domestic policy, which Merz had not yet focused on in the first three weeks of his government. However, expectations are high that Merz will deliver something here. In his first government statement on May 14, he promised: “I want you, the citizens of our country, to feel that things are slowly changing for the better by the summer.” Summer is now just around the corner, or as Söder put it today, “We need speed, speed, speed.”

Professional, sober—this was the approach they wanted to take today, working from the so-called ""project lists"" of the individual ministries, which one participant referred to as a ""wish list."" Not everything on it is a priority, so the big task for the party leaders tonight was to highlight only the measures that should be implemented quickly: everything that could help lift the German economy out of recession. The individual initiatives are listed in bullet points: from the announcement of bringing the billions in special funds literally to the streets, to the promise of financially easing the burden on companies. The coalition calls it an ""investment booster.""

However, the most frequently used word in the ""immediate program"" is another: acceleration. Everything is supposed to happen faster. Even the major pension reform is set to get underway. The coalition plans to push the first laws through the Bundesrat by July. Will it work? It sounds ambitious. When it comes to legislative projects, the most challenging work is usually in the details, not just in the bullet-point listing of individual initiatives.
";center;{'center': 0.4902999997138977, 'left': 0.382099986076355, 'left-center': 0.08950000256299973, 'right': 0.023900000378489494, 'right-center': 0.0142000000923872}
Kapitalistischer »Fortschritt« führt in die Katastrophe;Jacobin;<a href='https://www.jacobin.de/artikel/fortschritt-walter-benjamin-linke-klima' target='_blank'>Kapitalistischer »Fortschritt« führt in die Katastrophe</a>;"Samuel Farber’s article titled ""..."" is very reasonable and factual. We agree on many points, but there are some important aspects where I see things differently. I would like to briefly explain these differences. Is Walter Benjamin—like other Western Marxists—really a thinker who wanted to ""stay away from politics and economics,"" as Farber suggests? Benjamin can certainly be criticized in many ways, but I find it hard to deny the political character of his writings. It’s true that he didn’t belong to a political party, but that doesn’t mean he stayed away from politics. Karl Marx also didn’t belong to a party during the years he wrote. Does that mean he wasn’t a political thinker at that time?

According to Farber, Benjamin imagined revolution as ""a sudden, cataclysmic, messianic event in which the emergency brake would be pulled on the 'locomotives of world history'—which aimed more to prevent further catastrophes than to open up a better future."" However, Benjamin’s idea is shaped by a dialectical vision that combines both aspects: preventing catastrophes—a product of historical progress under the ruling classes—and opening up new future perspectives. In a postscript to one of his theses from The Origin of German Tragic Drama, Benjamin refers to the realization of a classless society (the ""new future"" in Marxism) as the goal of revolution. However, he does not see this as the result of progress. For him, the classless society should not be understood as the endpoint of historical development but as its interruption.

Farber quotes from our book: ""Philosopher Michael Löwy and literary scholar Robert Sayre (in German, approximately ‘Romanticism against the Pull of Modernity’) identified various currents of this left-wing romanticism. The 'New Rousseauism,' for example, viewed the beginnings of human history as an idealized golden age."" However, for us—and this also applies to Jean-Jacques Rousseau—it is crucial that there is no call for a return to the past (to a supposedly ""golden age""), but rather a detour through the past towards a utopian future. Rousseau admired the indigenous Caribbean peoples, but he did not suggest they should continue to live as they did. Instead, he dreamed of a new, democratic society in which the former freedom and equality of humanity would be revived in a new form. The same holds true for Ernst Bloch: Farber mentions his fascination with the Middle Ages, but Bloch was more than that—he was a great utopian philosopher. He referred to the past to criticize capitalist ""progress,"" not to advocate a return to the Middle Ages! His goal was a future communist society in the Marxist sense.

Farber’s interpretation of E.P. Thompson, however, seems much more accurate to me: It is not about restoring a lost community, but about creating a new one that breaks with the ruthless, anti-social logic of capitalism. According to Farber, Ferdinand Tönnies is the most influential author we engage with in our book. However, as we write—and as Farber himself notes—Tönnies is a ""resigned romantic thinker"" and, as such, does not belong to the revolutionary-romantic tradition.

I fully agree with another of Farber’s arguments: We must oppose the ""political economy of capitalism"" with an alternative political economy—one that involves democratic planning and sets priorities for production. However, I do not believe in the possibility of economic growth that is not ecologically harmful. In my view, Farber underestimates the severity of the ecological crisis: Capitalist ""progress,"" with its logic of unlimited growth, is leading us into an unprecedented catastrophe in human history: climate change. This threatens the survival of humanity. If we want to avoid such a fate, we must reduce our energy consumption and material production, starting with useless and unnecessary goods, which make up the bulk of capitalist production.

Certainly, in an alternative civilizational model, which we call eco-socialism, it will be necessary to satisfy the basic social needs of humanity. But, as Marx outlined, the first step toward freedom is shortening the workday and creating free time, which enables people to engage in self-realization.";left;{'center': 0.2797999978065491, 'left': 0.6471999883651733, 'left-center': 0.035599999129772186, 'right': 0.021800000220537186, 'right-center': 0.015599999576807022}
Auch in Remscheid sticht ein Kind ein anderes nieder;Junge Freiheit;<a href='https://jungefreiheit.de/politik/deutschland/2025/auch-in-remscheid-sticht-ein-kind-ein-anderes-nieder/' target='_blank'>Auch in Remscheid sticht ein Kind ein anderes nieder</a>;REMSCHEID. In the center of Remscheid, an eleven-year-old Iraqi child seriously injured a 13-year-old German with a knife. After an argument at school, three pupils are said to have arranged a fight in Theatergasse in the afternoon. However, the migrant did not use his fists, but drew a knife after the first blow from the two-year-old child. He used it to stab his opponent twice in the leg with full force, as the newspaper first reported. The eleven-year-old and the other classmate then fled the scene, leaving the seriously injured boy behind. However, the stab wounds are not said to be life-threatening. An emergency doctor who was called was able to treat the 13-year-old in the city center. The boy was then taken to hospital. Meanwhile, the police searched for the Iraqi and were able to arrest him near his parents' home. He is still under the age of criminal responsibility. He is therefore not at risk of criminal proceedings. Adolescents in Germany can only be tried if they are 14 years old or older. The police handed the offender over to staff from the youth welfare office at the police station. They considered placing him in an appropriate institution. In the end, they decided against it.The parents were able to pick up their son at police headquarters and take him home, even though they had already been looked after by Remscheid youth welfare services in the past. A few hours earlier, there had also been a knife attack at a school in Berlin-Spandau. In the process . He survived after emergency surgery. The perpetrator and victim are both said to be German nationals. (fh);center;{'center': 0.5803999900817871, 'left': 0.07020000368356705, 'left-center': 0.30390000343322754, 'right': 0.01979999989271164, 'right-center': 0.025699999183416367}
»Lehrer verschieben gern die Verantwortung auf die Schüler«;nd;<a href='https://www.nd-aktuell.de/artikel/1191554.inklusives-lernen-lehrer-verschieben-gern-die-verantwortung-auf-die-schueler.html' target='_blank'>»Lehrer verschieben gern die Verantwortung auf die Schüler«</a>;"It could be from now, but also from the 80s. It shows exactly the problem: Here, something has been attributed to a person without knowing why they don't do something and whether it really has anything to do with their personality. Appreciative, acknowledging feedback wouldn't be formulated this way. It targets situations, processes, and not the person as a personality. Sometimes, verbal judgments can hurt more than a grade. Standardization isn't the problem at all. Even verbal feedback needs certain criteria to be met, otherwise it becomes arbitrary. A verbal judgment should help students improve their work habits or their learning processes. But this here is just a list of traits, without connection to the learning process. And that a child doesn't want to do certain things is an educational problem, not a problem of the child. Teachers like to shift the responsibility for the learning process onto the students.

She teaches as a professor of educational science at the Technical University of Dresden. She co-developed a concept for a community school where new forms of – including inclusive – teaching and learning were to be developed and researched. This concept is being implemented as a joint school experiment by the university and the city under Langner's scientific leadership: It opened in 2019 as a public and free primary and secondary school under one roof. Now, it is a community school that goes up to the Abitur. Currently, about 850 children are learning here. In the 2023/24 school year, the first students took the Hauptschule exam. In the current 2024/25 school year, the first cohort will take both the Hauptschule and Realschule exams.

It is a very deficit-oriented view. The student has to adapt; it's not about understanding why it's not meaningful for them to do certain things. This is the classic idea you still find today: The teacher has an expectation of the students, and they must meet this expectation. I would always say: The teacher has an expectation to meet. He has the task of removing all barriers that prevent the learning process of a child from progressing. To do this, he must first understand the barriers, but this is not the child's responsibility, it is the teacher's.

The feedback would rather be: I have observed that you don't like doing certain tasks. And then you can discuss this with the student. But that is dialogical and would not be written on a report card.

Starting from the fourth grade, we have goal-setting and review conversations at the University School Dresden – even though it sounds terrible – in which the student jointly determines what they plan to accomplish in the next six weeks. And after six weeks, you discuss: What have you achieved? What went well? What did you find challenging? What would you need to do differently? Where do you need more support? This process is accompanied daily by a logbook in which daily goals are formulated and reflected upon at the end of the day.

Since the COVID-19 pandemic, we in educational science have been strongly discussing self-regulated or self-organized learning. After kindergarten, children could be easily introduced to this, as by then, they have learned a lot without anyone standing in front telling them what to learn. There is an intrinsic motivation to learn. A human wants to acquire the world and engage with it. Nevertheless, they need to grow into the responsibility for their own learning process through educational guidance.

A student raised in a traditionally teacher-centered classroom cannot naturally do this. If I want to lead students to a more self-regulated learning, I must practice this with them. Of course, there are very different students. Some only need to speak in the goal-setting conversations every quarter because they process things continuously. And then there are students who need a weekly nudge to be told: What was the plan? Where do you stand now? Why haven't you done this by then? Not reproachfully, but accountably. The students should learn to reflect on this and then deduce what they need to do differently.

A school in a socially disadvantaged area means that the student body is no longer heterogeneous, but gentrified. This is a huge problem. The University School is a community school and intentionally has a cross-section of society, so we have both students from an educational background who don't initially have much interest in learning, and there are also the classic academic children. Additionally, much of the learning works well peer-to-peer and across grades. At our school, first graders are taken by the hand by third graders, the same happens with the fourth and fifth grades. Students can convey the culture of learning to each other much better than if the teacher constantly demands it. And because it's a mixed group, the teacher has more time for the students who need it, because there are others who don't need as much support.

From ninth grade, when the first school-leaving exams approach. But not before. The counter-question would be: Why do you need a grade? But why are our Abitur results always improving, and our PISA results always getting worse? Because grading is always just the benchmark for a class and a purely subjective feeling of the teacher. An average math student is in the lower third of a class with many very good students. In a class without math prodigies, they are in the upper third. The grade is not an objective measure. To socially position oneself, you can use it, but then you're only positioning yourself among your 27 classmates, not in comparison to real potentials or your actual abilities.

The second point is: The grade is a blanket judgment. If I can't do probability calculations but can quickly calculate in my head, I might get a three in math. But what does this number mean? With us, it says that I only have a basic understanding of probability calculations, but that I can do mental arithmetic 100%. If an employer wants to know if a candidate is suitable, they can make much more sense of that.

This differentiated perspective is also helpful for the educational process. What do I know as a new math teacher if someone has a four? I can only understand where I need to start if I know more precisely where the problem lies. Even in geometry! We have just as many teachers and educators as a regular school. But we work with a digital learning and school management software developed by a Czech startup. At the end, you just press a button and say: Please create a report card from this! Honestly, I have to say: It's still not perfect, we're still working on it.

There is also pressure to perform at our school. Because we also write success proofs. But I sign up for that when I feel ready. Yes, that's how we do it. Learning cannot be controlled from the outside, you can only create the right learning environment. After school, in working life, you have to produce something within a certain time, but never again do you have to learn something within a certain time, like in traditional schools: learning something at speed in several subjects and reproducing it. That creates stress, which is extremely negatively charged. In essence, we are preparing people not to want to learn or continue their education. In the end, it is an educational policy decision, and those decisions are not made by educational scientists. School cannot be changed within one legislative period. That's why it never gets touched. Educational science has no relevance to education policy.

I interpret it differently. Saxony has been a winner for years, but only in relation, because everyone is getting worse, even Saxony. Also, Saxony always has an advantage because it selects so strongly. In the PISA tests, special needs schools are not represented, meaning the stronger the selective system, the cleaner the data on students. Other federal states like Berlin or Bremen have a high inclusion rate. Students with special educational needs sit in regular schools there and are part of the sample.

The other thing is that in these competency tests, it's also disputed whether they measure what we really need. I have the experience in Saxony that students are very good at reproducing knowledge, but not good at applying knowledge, in creativity, and in self-efficacy. This is not assessed by PISA, but it would be highly recommended. This is important for society in light of the many crisis situations, but also for whether people feel comfortable in their own skin and believe they can handle challenges or change something. We conduct self-efficacy studies at the University School. There are also studies that show a correlation between performance and self-efficacy from a certain age onward. From my perspective, school should help to unlock individual potential. This is still not achieved very well with our school system.";left;{'center': 0.1753000020980835, 'left': 0.763700008392334, 'left-center': 0.02500000037252903, 'right': 0.020999999716877937, 'right-center': 0.014999999664723873}
Viele Männer, große Ziele;tagesschau;<a href='https://www.tagesschau.de/inland/innenpolitik/koalitionsausschuss-maenner-frauen-100.html' target='_blank'>Viele Männer, große Ziele</a>;"At the beginning of his term, Friedrich Merz set an exceptionally ambitious goal. He wants the citizens to feel that something has changed in Germany by the summer and that things are moving forward. Typical Merz, the anti-Scholz. Not vague, but steep. This is how the mood shift is supposed to be governed. The coalition committee will now set the course for this, determining what should be put on the table and, at best, implemented by summer. It's about priorities. And who sets them? In addition to Merz, these are the people who make decisions for the CDU, CSU, and SPD, i.e., important people. Eight men and one woman. Jens Spahn, as the Union faction leader, is part of it, as is Carsten Linnemann, the CDU general secretary. Markus Söder also comes with two men from the CSU. While women from the Union can be found in the cabinet, they do not hold the more important positions of power and, therefore, are not part of the coalition committee. Lars Klingbeil, the SPD leader, brings his co-chair, Saskia Esken, alongside faction leader Matthias Miersch. Eight to one. This causes outrage, not only among women but also among the Jusos, such as Benedict Lang. ""Our expectation remains the same,"" he says, ""half of the power to women, that's our demand, and it must be realized."" The coalition committee is far from meeting that expectation. Men dominate the body that is supposed to play such an important role in this coalition. It is meant to meet once a month and set the direction. It's about more economic growth, less migration, the citizens' income, which is supposed to be abolished, and, not least this time: signals. Merz wants to show that his coalition doesn't ""traffic light,"" that it can do it better than the previous government and the AfD. It's also about Merz, the chancellor, who still has to earn the trust of the citizens. So far, he has mainly appeared as the exterior chancellor. Now, it’s about showing that he also wants to make a difference in Germany. Because the mood shift in the country will probably be achieved more with policies for Lusatia, Gelsenkirchen, or Kaiserslautern than with glossy pictures in Paris or Warsaw. Unity is also something Merz formulated as a goal in his government statement. He wants to foster unity, especially where it has been lost. However, the chancellor must also foster unity within the coalition. The start was sometimes a bit bumpy because some said thoughtless things publicly or others wanted to leave their own mark. But Merz can’t afford that – his coalition is supposed to become the anti-traffic light coalition, especially without public disputes. And now, into this mix steps CSU leader Markus Söder, known for having his own head. He wants to put his priorities for Bavaria on the list in the coalition committee. Commuter allowance, restaurant tax, mother’s pension: it’s all a matter of money. At least, there seems to be consensus that something should be done first for economic growth. That’s what Friedrich Merz wants, that’s what Lars Klingbeil says, and that’s what Markus Söder will want too. Would women see it differently? Probably not. Still, Nina Warken, the new chair of the Women’s Union, wants to talk to Merz and see if there’s any way a woman from the CDU can have a say in the coalition committee. And with that, she also has a very ambitious goal.";left;{'center': 0.3449000120162964, 'left': 0.5737000107765198, 'left-center': 0.042500000447034836, 'right': 0.022299999371170998, 'right-center': 0.016599999740719795}
Terrorkeule gegen humanitäre Helfer;Junge Welt;<a href='https://www.jungewelt.de/artikel/500874.donbass-solidarit%C3%A4t-terrorkeule-gegen-humanit%C3%A4re-helfer.html' target='_blank'>Terrorkeule gegen humanitäre Helfer</a>;"From the perspective of the German government, the eastern Ukrainian people's republics of Donetsk and Luhansk, which the Russian Federation counted as part of its own territory following a referendum in 2023, are considered ""terrorist organizations abroad."" On Tuesday, the Federal Public Prosecutor’s Office authorized raids on the houses, apartments, and office spaces of members of the association ""Friedensbrücke – Kriegsopferhilfe e.V."" in Berlin, as well as in the Brandenburg municipalities of Wandlitz and Königs Wusterhausen, under the accusation of supporting such organizations. An investigation under criminal law paragraph 129 b is only possible if the Federal Ministry of Justice has previously granted its authorization. The association has provided humanitarian aid since the beginning of the Ukrainian civil war following the Maidan coup, allegedly helping the Russian-speaking residents of Donbas, who were under pressure from the Kyiv army and partly openly neo-Nazi militias. The association’s chairperson, Liane Kilinc, speaks of over 800 projects implemented over ten years under the ""help for self-help"" concept. For example, sewing machines were delivered to set up a sewing workshop, and construction materials were provided to repair schools and kindergartens. However, the Federal Public Prosecutor’s Office accuses the association of supporting the self-defense forces of the people's republics until 2022. Among those searched by the Federal Criminal Police Office were the association’s office in Berlin-Friedrichshain and the apartment of the treasurer, as first reported by the media. Arrest warrants have been issued against Kilinc and one other person, but they could not be executed, as the two individuals are said to be in Russia. At least Kilinc has not concealed this fact. Since August 2022, the 53-year-old has lived in Moscow, where she was granted political asylum in 2023 and also acquired Russian citizenship in April of this year. She continues to be involved in helping Donbas, as she explained in an interview in January. The association has already experienced repression in the past. For example, its bank accounts were canceled, and its charitable status was revoked due to ""political activities outside the association's statutes,"" as reported in early 2023. Journalists from the Springer newspaper had previously presented a photo to the Brandenburg tax office, showing the association's board members with the flag of the Donetsk People's Republic in front of a civilian truck with a Z symbol. The state’s actions have been prepared for in the media. For example, on May 5, an article titled ""Kremlin Propaganda at Odesaplatz: Moscow-Affiliated Association Demonstrates in Berlin-Karlshorst"" stirred up sentiment. The background of the lengthy article was a memorial rally marking the anniversary of the pogrom by Ukrainian fascists at the trade union house in Odessa on May 2, 2014. At the event, attended by nearly two dozen participants, an activist from ""Friedensbrücke"" also spoke. The article claims that the association organizes ""alleged aid convoys"" but questions whether only civilian goods are being transported. To support this, it repeats the claim made in 2023 by the investigative portal based in Estonia, stating that ""Friedensbrücke"" had delivered so-called dual-use goods, including two tons of lubricating oil, to militias. According to the association, it had to stop its aid transports from Germany in 2022 due to Western sanction threats.";center;{'center': 0.7512000203132629, 'left': 0.1671999990940094, 'left-center': 0.04820000007748604, 'right': 0.01899999938905239, 'right-center': 0.014499999582767487}
Verteidigung des Fortschritts;Jacobin;<a href='https://www.jacobin.de/artikel/fortschritt-linke-zukunft-pessimismus' target='_blank'>Verteidigung des Fortschritts</a>;"""I grew up in the early 1950s in Marianao, a neighborhood near the Cuban capital, Havana. I still remember how excited the people in our neighborhood were when the side streets of the community were paved and the road connecting Marianao to Havana was widened. Even my Jewish immigrant parents, who had only recently learned that their entire family had been wiped out in the Holocaust, shared this hopeful sense of progress. Neither they nor our neighbors—or Cubans in general—took this progress for granted or as something inevitable. These and similar experiences explain how material progress became part of what the sociologist Alvin Gouldner would have called my 'background assumptions'—the fundamental views and ideas about politics and the world that immediately shape an individual. My beliefs were strengthened when I attended the University of Chicago in the early 1960s. From the city's elevated trains, I could see the dilapidated and impoverished ghettos of the South Side, which reminded me of the poverty I knew from home. Although I was aware that the political left in the U.S. did not share my views on material progress in its entirety, I was nonetheless impressed by the growing number of left-wing academics and intellectuals who began to question what progress meant and whether it was even desirable. Prominent among these currents was the Frankfurt School, a part of the intellectual-political phenomenon that historian Perry Anderson has referred to as 'Western Marxism.' This was a highly diverse group of intellectuals, including figures like Walter Benjamin, Lucio Colletti, Lucien Goldmann, and Karl Korsch. Despite their different perspectives, all of these thinkers had one thing in common: their reaction to the defeat of classical Marxism by fascism, Stalinism, and social democracy, and their tendency to distance themselves from politics and economics, focusing instead on philosophical questions—usually with an idealistic tendency disconnected from actual practice. This revolt against classical Marxism helps explain a divide that emerged within the left: the divide between left-wing activists and organizers, who adhere to a practical belief in progress that justifies their involvement in social struggles, and many left-wing intellectuals, who primarily criticize the concept of progress.""";center;{'center': 0.39480000734329224, 'left': 0.22200000286102295, 'left-center': 0.3456999957561493, 'right': 0.019700000062584877, 'right-center': 0.017799999564886093}
